V160001,V160501,V161003,V161004,V161005,V161006,V161010e,V161021,V161030,V161031,V161086,V161087,V161126,V161128,V161129,V161138x,V161140x,V161158x,V161194x,V161196x
9,1,1,1,1,2,TX,2,-1,-1,15,60,4,1,5,2,4,5,7,1
47,1,4,3,2,-1,TX,2,-1,-1,60,60,6,5,1,2,3,4,7,6
57,1,5,3,2,-1,TX,2,-1,-1,-99,-99,99,-9,-9,3,3,5,1,7
61,1,2,1,1,1,TX,1,1,1,70,0,2,3,6,1,3,1,4,4
93,1,3,2,2,-1,TX,2,1,1,70,50,4,4,2,2,2,2,1,3
101,1,2,1,1,1,TX,2,1,1,85,0,2,3,7,1,2,1,6,7
103,1,3,2,1,2,TX,2,1,-8,60,70,5,2,3,2,3,4,1,4
105,1,1,1,2,-1,TX,2,1,2,-88,70,99,-8,6,3,3,7,7,-8
110,1,3,3,2,-1,TX,2,-1,-1,60,40,4,2,6,3,3,3,6,7
114,1,5,3,2,-1,TX,2,2,-1,50,50,99,5,1,2,3,3,4,6
126,1,3,1,2,-1,TX,2,1,1,70,40,3,2,6,2,2,6,4,7
127,1,1,1,1,1,TX,2,1,1,85,0,2,3,4,1,3,3,4,7
145,1,4,2,2,-1,TX,2,-1,-1,85,15,5,7,1,3,2,2,6,7
176,1,4,1,1,1,TX,2,1,1,85,0,99,-8,1,1,3,1,7,7
199,1,4,1,1,1,TX,2,1,1,70,15,3,2,6,1,3,1,6,7
200,1,3,1,1,2,TX,1,1,2,15,85,99,2,5,2,4,7,7,6
202,1,2,1,2,-1,TX,2,-1,-1,0,100,6,1,6,2,5,7,1,1
224,1,4,3,2,-1,TX,2,-1,-1,60,0,-8,2,-8,4,1,4,5,7
231,1,4,1,1,1,TX,2,1,1,70,0,99,3,-8,2,3,4,4,6
239,1,1,1,1,2,TX,1,-1,-1,0,85,7,1,6,1,5,7,1,1
240,1,2,1,1,2,TX,1,1,2,0,100,7,1,7,5,4,7,6,1
242,1,2,1,1,1,TX,1,1,1,70,0,2,3,7,1,4,1,6,7
244,1,3,2,2,-1,TX,1,1,1,50,15,3,2,6,2,2,3,7,7
245,1,2,1,1,2,TX,2,1,2,0,50,5,1,4,3,3,5,2,3
256,1,2,1,1,1,TX,2,1,1,100,0,99,6,1,1,3,4,6,7
258,1,1,1,1,1,TX,1,1,1,100,0,3,2,6,1,2,1,7,7
260,1,1,2,2,-1,TX,1,-1,-1,50,60,99,4,6,2,2,4,6,1
261,1,1,1,1,1,TX,2,1,1,100,0,2,3,7,1,1,1,7,7
271,1,4,1,2,-1,TX,2,1,3,15,0,6,3,1,1,3,2,7,7
277,1,1,1,1,2,TX,1,1,2,0,70,7,1,6,2,5,7,6,1
283,1,2,1,1,2,TX,2,1,-8,60,60,2,1,5,2,4,3,1,1
285,1,2,2,2,-1,TX,2,1,1,96,50,6,5,1,1,3,2,7,7
303,1,1,1,1,1,TX,1,1,1,85,0,1,3,7,1,4,3,1,7
314,1,1,1,1,2,TX,1,-1,-1,40,85,6,1,5,1,3,7,6,1
329,1,2,1,1,2,TX,1,1,2,30,70,6,1,5,2,5,5,7,1
333,1,2,1,1,1,TX,2,1,1,85,0,99,2,7,3,3,1,7,7
335,1,4,2,2,-1,TX,2,-1,-1,60,30,3,2,1,2,2,1,7,7
341,1,2,1,1,1,TX,2,2,-1,70,50,4,5,7,2,2,3,2,4
